Date,^NSEBANK,^NSEI
2024-01-01,48234.30078125,21741.900390625
2024-01-02,47761.6484375,21665.80078125
2024-01-03,47704.94921875,21517.349609375
2024-01-04,48195.8515625,21658.599609375
2024-01-05,48159.0,21710.80078125
2024-01-08,47450.25,21513.0
2024-01-09,47242.6484375,21544.849609375
2024-01-10,47360.8515625,21618.69921875
2024-01-11,47438.3515625,21647.19921875
2024-01-12,47709.80078125,21894.55078125
2024-01-15,48158.30078125,22097.44921875
2024-01-16,48125.1015625,22032.30078125
2024-01-17,46064.44921875,21571.94921875
2024-01-18,45713.55078125,21462.25
2024-01-19,45701.1484375,21622.400390625
2024-01-23,45015.05078125,21238.80078125
2024-01-24,45082.3984375,21453.94921875
2024-01-25,44866.1484375,21352.599609375
2024-01-29,45442.3515625,21737.599609375
2024-01-30,45367.75,21522.099609375
2024-01-31,45996.80078125,21725.69921875
2024-02-01,46188.6484375,21697.44921875
2024-02-02,45970.94921875,21853.80078125
2024-02-05,45825.55078125,21771.69921875
2024-02-06,45690.80078125,21929.400390625
2024-02-07,45818.5,21930.5
2024-02-08,45012.0,21717.94921875
2024-02-09,45634.55078125,21782.5
2024-02-12,44882.25,21616.05078125
2024-02-13,45502.3984375,21743.25
2024-02-14,45908.30078125,21840.05078125
2024-02-15,46218.8984375,21910.75
2024-02-16,46384.8515625,22040.69921875
2024-02-19,46535.5,22122.25
2024-02-20,47094.19921875,22196.94921875
2024-02-21,47019.69921875,22055.05078125
2024-02-22,46919.80078125,22217.44921875
2024-02-23,46811.75,22212.69921875
2024-02-26,46576.5,22122.05078125
2024-02-27,46588.05078125,22198.349609375
2024-02-28,45963.1484375,21951.150390625
2024-02-29,46120.8984375,21982.80078125
2024-03-01,47286.8984375,22338.75
2024-03-04,47456.1015625,22405.599609375
2024-03-05,47581.0,22356.30078125
2024-03-06,47965.3984375,22474.05078125
2024-03-07,47835.80078125,22493.55078125
2024-03-11,47327.8515625,22332.650390625
2024-03-12,47282.3984375,22335.69921875
2024-03-13,46981.30078125,21997.69921875
2024-03-14,46789.94921875,22146.650390625
2024-03-15,46594.1015625,22023.349609375
2024-03-18,46575.8984375,22055.69921875
2024-03-19,46384.80078125,21817.44921875
2024-03-20,46310.8984375,21839.099609375
2024-03-21,46684.8984375,22011.94921875
2024-03-22,46863.75,22096.75
2024-03-26,46600.19921875,22004.69921875
2024-03-27,46785.94921875,22123.650390625
2024-03-28,47124.6015625,22326.900390625
2024-04-01,47578.25,22462.0
2024-04-02,47545.44921875,22453.30078125
2024-04-03,47624.25,22434.650390625
2024-04-04,48060.80078125,22514.650390625
2024-04-05,48493.05078125,22513.69921875
2024-04-08,48581.69921875,22666.30078125
2024-04-09,48730.55078125,22642.75
2024-04-10,48986.6015625,22753.80078125
2024-04-12,48564.55078125,22519.400390625
2024-04-15,47773.25,22272.5
2024-04-16,47484.80078125,22147.900390625
2024-04-18,47069.44921875,21995.849609375
2024-04-19,47574.1484375,22147.0
2024-04-22,47924.8984375,22336.400390625
2024-04-23,47970.44921875,22368.0
2024-04-24,48189.0,22402.400390625
2024-04-25,48494.94921875,22570.349609375
2024-04-26,48201.05078125,22419.94921875
2024-04-29,49424.05078125,22643.400390625
2024-04-30,49396.75,22604.849609375
2024-05-02,49231.05078125,22648.19921875
2024-05-03,48923.55078125,22475.849609375
2024-05-06,48895.30078125,22442.69921875
2024-05-07,48285.3515625,22302.5
2024-05-08,48021.1015625,22302.5
2024-05-09,47487.8984375,21957.5
2024-05-10,47421.1015625,22055.19921875
2024-05-13,47754.1015625,22104.05078125
2024-05-14,47859.44921875,22217.849609375
2024-05-15,47687.44921875,22200.55078125
2024-05-16,47977.05078125,22403.849609375
2024-05-17,48115.6484375,22466.099609375
2024-05-21,48048.19921875,22529.05078125
